trial_number,ganancia,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,num_boost_round,pos_bagging_fraction,neg_bagging_fraction,value
7,382400000,215,0.018263328,9,0.506096285,0.399610487,2.688336763,0.901428859,503,0.298177168,0.774197731,382400000
6,380800000,268,0.011180285,46,0.531067705,0.732724951,4.333593672,2.086414572,440,0.232586683,0.149973852,380800000
23,380800000,303,0.032669388,22,0.541128409,0.716947505,4.455000053,2.175390991,299,0.50665159,0.693700894,380800000
13,380000000,270,0.058191906,18,0.613081267,0.712712478,4.91037991,1.892393736,278,0.651079852,0.735869254,380000000
1,379200000,148,0.136150275,27,0.312725034,0.306579792,0.443862379,2.888440047,621,0.644415669,0.608805464,379200000
15,379200000,216,0.040776489,19,0.75954955,0.504730433,0.875878365,0.816685865,383,0.840067626,0.850047412,379200000
22,379200000,271,0.055299232,21,0.615574837,0.714451528,4.973418014,1.67133993,261,0.614401113,0.788518394,379200000
24,376800000,304,0.025542547,23,0.51511666,0.634669472,4.374366987,2.468696031,312,0.516848681,0.59505177,376800000
4,376000000,128,0.107167577,37,0.349788417,0.568503413,4.384125992,2.670503459,748,0.297398734,0.754208347,376000000
5,376000000,79,0.114945943,39,0.305888014,0.353166577,4.332578989,1.75885651,378,0.467683384,0.467400105,376000000
12,376000000,255,0.066411926,50,0.641338688,0.790897782,3.132541586,0.275304753,567,0.124345329,0.935646102,376000000
9,375200000,37,0.013608615,29,0.453977465,0.426234949,1.673969736,0.122367558,446,0.946801913,0.336186291,375200000
17,375200000,238,0.032799129,41,0.567080763,0.389397839,4.983458817,0.741590272,309,0.59478604,0.196479893,375200000
8,373600000,343,0.021480644,3,0.490955741,0.476383304,3.901843577,3.282339602,493,0.501750017,0.741833775,373600000
11,372800000,206,0.172372521,16,0.695353332,0.402730029,3.372429886,4.957825056,202,0.107336932,0.956400659,372800000
2,371200000,276,0.096494217,31,0.515661789,0.579328565,2.376407136,1.07991905,707,0.395050675,0.469947025,371200000
19,371200000,168,0.15082805,44,0.556367536,0.464227926,0.092343629,2.222388863,491,0.395036118,0.457090357,371200000
14,370400000,344,0.005190572,48,0.598099754,0.644996516,3.035980122,3.80693475,538,0.21111325,0.600563889,370400000
18,370400000,298,0.181685155,11,0.40076349,0.253852248,3.831073864,3.772707726,595,0.179187512,0.677378038,370400000
3,369600000,138,0.043464186,28,0.460955144,0.291046935,1.301739778,1.415247059,653,0.316706565,0.106007354,369600000
10,368800000,187,0.123871618,10,0.256844228,0.726009555,1.936026259,2.771376327,380,0.275768511,0.221927184,368800000
20,368800000,99,0.083808835,33,0.694162667,0.795584885,2.404456403,1.389400414,792,0.750056761,0.327852073,368800000
16,365600000,309,0.07954583,3,0.399099404,0.635429705,2.593543249,2.053051138,457,0.382716263,0.340796061,365600000
21,360800000,228,0.199078101,10,0.424862824,0.557861844,3.681179721,0.48456688,424,0.228553635,0.869973267,360800000
