trial_number,ganancia,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,num_boost_round,pos_bagging_fraction,neg_bagging_fraction,value
46," 402,133,333 ",84,0.0351864,47,0.317765197,0.671499987,0.294426701,2.4490808,778,0.406223476,0.16338893,402133333.3
18," 400,533,333 ",96,0.039388837,66,0.260461679,0.668362901,1.642582745,1.0365635,705,0.466653975,0.134224989,400533333.3
25," 400,000,000 ",111,0.034227342,85,0.323811112,0.596635699,0.061666221,1.13768038,670,0.48688763,0.213587329,400000000
44," 399,733,333 ",98,0.042749732,48,0.322346961,0.572626104,0.263990501,1.642313789,633,0.517859866,0.148706146,399733333.3
19," 399,466,667 ",104,0.035589698,69,0.251446579,0.667056382,0.711984251,0.459933861,706,0.442343669,0.111252369,399466666.7
39," 399,200,000 ",137,0.022412037,64,0.295230233,0.636059371,2.722392634,0.200861773,629,0.773183341,0.441644756,399200000
24," 398,666,667 ",109,0.04550144,63,0.255126277,0.588698707,0.008554466,1.667813104,663,0.612329417,0.116084647,398666666.7
29," 398,400,000 ",149,0.02526586,100,0.328427484,0.471024029,1.881310949,0.000584466,816,0.477929271,0.264166698,398400000
42," 398,133,333 ",123,0.036160826,87,0.299617255,0.80662274,2.115241398,0.259702145,477,0.941143258,0.436505876,398133333.3
23," 397,600,000 ",102,0.045030535,66,0.253552454,0.672954062,0.905163083,1.828052763,750,0.597611987,0.120498066,397600000
27," 396,800,000 ",114,0.051573695,78,0.322049061,0.733103339,1.471190023,0.465468434,686,0.477658538,0.210331086,396800000
43," 396,800,000 ",116,0.023060238,63,0.276701298,0.614660766,2.527168429,1.275054315,594,0.724466471,0.247693304,396800000
45," 396,800,000 ",95,0.027745962,31,0.339289974,0.557457887,3.423652798,0.618983053,567,0.510064594,0.312630234,396800000
16," 396,266,667 ",90,0.085598615,67,0.286515312,0.714643209,4.383581698,3.514348369,730,0.547100485,0.389595856,396266666.7
17," 396,266,667 ",90,0.04236776,59,0.297085239,0.685633738,3.032684444,1.284030551,720,0.698367564,0.38890022,396266666.7
34," 396,266,667 ",83,0.036259086,82,0.34754246,0.689793018,0.654248608,0.576269005,759,0.659493618,0.10465727,396266666.7
35," 396,266,667 ",92,0.048811505,45,0.318690029,0.574095943,0.060694763,1.099291996,653,0.590071876,0.175601012,396266666.7
36," 396,000,000 ",120,0.062216305,71,0.291284935,0.642167496,0.650711471,1.907733121,523,0.499273889,0.258021456,396000000
4," 395,733,333 ",29,0.097670177,52,0.760302975,0.849505752,3.579785598,4.43254885,510,0.777017679,0.52787032,395733333.3
20," 395,733,333 ",99,0.032732256,39,0.25841968,0.436000194,0.339598216,0.333429403,815,0.430262876,0.121175881,395733333.3
6," 395,200,000 ",54,0.082334274,83,0.680965957,0.765123552,4.74809344,3.604792493,922,0.532382435,0.480173894,395200000
37," 395,200,000 ",140,0.027991674,55,0.382324476,0.510778881,1.192559356,1.404703098,693,0.39931877,0.165410911,395200000
40," 395,200,000 ",134,0.015493184,53,0.375586579,0.726801484,2.69344319,0.158061857,619,0.827814241,0.632450642,395200000
48," 395,200,000 ",74,0.0355497,48,0.408951207,0.76544873,0.794954769,3.000035737,704,0.355672902,0.280290903,395200000
7," 394,933,333 ",125,0.060378013,13,0.515709397,0.863027327,3.73017001,2.737697421,616,0.534565041,0.332637604,394933333.3
41," 394,933,333 ",141,0.022655745,71,0.466037939,0.645365835,3.143467841,0.622983833,865,0.555791281,0.4722643,394933333.3
33," 394,400,000 ",110,0.047083112,61,0.25154059,0.586402944,0.134605912,1.561220004,667,0.610213266,0.110133898,394400000
31," 393,866,667 ",130,0.038506786,47,0.557268378,0.611029776,1.122748703,0.34007907,890,0.471243454,0.602132727,393866666.7
8," 393,600,000 ",118,0.018899115,89,0.504243347,0.542206618,2.242048889,2.869480655,603,0.39902883,0.907622097,393600000
11," 393,600,000 ",146,0.07413884,5,0.660751498,0.542670985,4.987086776,2.251698853,723,0.359758128,0.988898311,393600000
38," 393,600,000 ",108,0.05490828,80,0.454036098,0.507858551,1.899323822,0.915375981,972,0.667445571,0.325079532,393600000
14," 393,333,333 ",64,0.08325226,100,0.84248675,0.759237156,4.290143993,3.869195302,441,0.712446459,0.149256232,393333333.3
32," 392,533,333 ",104,0.013171963,93,0.409254321,0.797649361,0.403565987,2.056702503,561,0.229082372,0.342891397,392533333.3
