feature,importance_gain,importance_split
ctrx_quarter,143572.24659848213,308
ctrx_30d,63487.86767292023,67
mprestamos_personales,38729.530364990234,211
mpasivos_margen,29806.95078611374,169
slope_ctrx_30d_2_window,23430.817287921906,30
ctrx_quarter_lag_1_1,20997.494406700134,74
mcuentas_saldo,20309.013673067093,218
mcaja_ahorro,19390.426379680634,125
ingresos_mensuales,18267.22870349884,69
slope_saldo_total_2_window,17489.42543411255,84
slope_ctrx_60d_2_window,17395.538761615753,37
mpayroll_corregida,16706.390669345856,54
slope_ctrx_quarter_2_window,16466.836456298828,69
mpayroll,15321.419467449188,58
cpayroll_trx,14907.369526863098,40
slope_ctrx_quarter_3_window,14557.096291065216,46
cpayroll_trx_corregida,13265.599902153015,27
saldo_vs_movimientos,12143.614228725433,210
ctrx_60d,11905.307278633118,75
cantidad_empleadores,11808.974078178406,20
saldo_total,10523.931797266006,173
es_empleado,10247.507879257202,22
ingresos_por_producto,9694.588984251022,129
slope_es_empleado_2_window,9441.764434814453,22
ctrx_90d,9354.077847003937,51
slope_Visa_status_2_window,7904.775778770447,47
TC_Total_msaldopesos,7899.3417592048645,79
mtarjeta_visa_consumo,7570.10032749176,84
slope_mprestamos_personales_3_window,7398.513090610504,91
saldo_total_pesos,7384.681232452393,162
ccomisiones_mantenimiento_delta_1,7110.791636943817,65
slope_cdescubierto_preacordado_2_window,6943.098731040955,69
slope_mprestamos_personales_2_window,6779.54634141922,90
slope_ctrx_90d_2_window,6748.300724983215,50
slope_ctarjeta_master_2_window,6438.194322109222,15
slope_cprestamos_personales_2_window,6272.612668514252,55
slope_Master_status_2_window,6131.853143215179,50
mactivos_margen,6084.774887561798,218
mrentabilidad_annual,6079.015510797501,209
TC_Total_msaldototal,6042.202932834625,55
uso_credito_ratio,6025.299289226532,149
slope_es_empleado_3_window,5726.545331954956,23
TC_Total_mpagominimo,5682.310435771942,115
slope_saldo_vs_movimientos_2_window,5481.193408489227,100
canales_activos,5293.5429582595825,104
deuda_tarjetas_total,5112.201493024826,37
TC_Total_fechaalta,4814.270578622818,229
slope_mcaja_ahorro_2_window,4764.3081159591675,76
cliente_edad,4701.473346233368,330
mrentabilidad_annual_lag_1,4672.693534851074,125
uso_tarjeta_ratio,4513.319664478302,147
Visa_status,4502.195092201233,54
mrentabilidad_annual_lag_1_1,4461.034910202026,95
slope_mpasivos_margen_2_window,4400.397397041321,97
cprestamos_personales,4150.845253944397,81
cdescubierto_preacordado,4077.817802429199,57
Visa_fechaalta,3984.6392703056335,242
Master_fechaalta,3854.18545627594,232
cliente_antiguedad,3609.351978778839,228
mcomisiones_mantenimiento_delta_2,3492.6721041202545,82
Visa_msaldopesos,3375.0039553642273,107
Visa_msaldototal,3208.1567373275757,91
rentabilidad_vs_margen,3131.865558862686,152
numero_de_cliente,3090.9152705669403,258
ccomisiones_mantenimiento_delta_2,2988.4184844493866,66
mcuenta_debitos_automaticos,2982.345310688019,107
margen_total,2973.5366468429565,99
mtransferencias_recibidas,2923.480350971222,103
Visa_Fvencimiento,2901.3773012161255,201
slope_internet_2_window,2896.222128391266,53
slope_mcuentas_saldo_2_window,2875.8831400871277,75
ctarjeta_visa_transacciones,2831.002175807953,52
TC_Total_Fvencimiento,2788.0963156223297,139
Master_Fvencimiento,2631.650224685669,199
cproductos_delta_1,2619.6989736557007,48
mcuentas_saldo_delta_1,2574.2664048671722,151
mrentabilidad_annual_delta_1,2515.914857149124,152
mcomisiones_mantenimiento,2495.4903342723846,93
uso_digital_ratio,2462.979534626007,130
rentabilidad_media_mensual,2388.1536588668823,175
slope_mactivos_margen_2_window,2346.92729139328,105
slope_mpasivos_margen_3_window,2319.598268032074,92
ccaja_seguridad,2224.860554456711,69
slope_saldo_total_pesos_2_window,2181.861526966095,67
Master_msaldototal,2113.3988313674927,114
mpasivos_margen_lag_1_1,2083.285282611847,66
cproductos,2073.6189970970154,96
ctrx_quarter_delta_1,2055.738924741745,156
mprestamos_personales_lag_1,2043.9467778205872,54
slope_canales_activos_2_window,2043.7967796325684,63
slope_saldo_total_3_window,2040.6251378059387,53
mcuenta_corriente,2030.734360218048,147
flujo_netotransf,1996.4657154083252,129
mpasivos_margen_lag_1,1971.8996005058289,64
rentabilidad_media_mensual_delta_1,1968.3594937324524,106
slope_ingresos_por_producto_2_window,1965.2125482559204,17
Visa_mpagominimo,1954.6650609970093,106
Visa_fechaalta_lag_1_1,1927.9290070533752,76
comisiones_ratio,1927.7595348358154,150
mrentabilidad,1919.4259614944458,86
ccomisiones_mantenimiento_delta_1_1,1877.085503578186,31
ccaja_ahorro,1849.4771718978882,98
ctrx_quarter_lag_1,1844.60902261734,87
Master_status,1828.7309646606445,16
ctrx_quarter_delta_2,1804.7189364433289,98
slope_mcuenta_corriente_2_window,1800.4364907741547,99
Master_mfinanciacion_limite,1793.2649302482605,106
mcuentas_saldo_delta_1_1,1785.1605043411255,117
ctarjeta_visa,1745.5190238952637,22
cproductos_delta_1_1,1739.499834060669,49
saldo_total_delta_1,1737.4843225479126,87
slope_cpayroll_trx_corregida_2_window,1726.4273567199707,14
mcomisiones_delta_2,1726.022400379181,60
slope_ccomisiones_mantenimiento_2_window,1720.5590906143188,73
mtarjeta_master_consumo,1717.59672164917,77
slope_cpayroll_trx_2_window,1710.3877897262573,6
slope_Visa_fechaalta_2_window,1707.0098984241486,113
slope_uso_digital_ratio_3_window,1701.9641752243042,96
mprestamos_personales_delta_1,1700.4561603069305,72
slope_TC_Total_mpagominimo_2_window,1679.315517425537,51
slope_mcomisiones_mantenimiento_3_window,1668.0616519451141,99
slope_mcuenta_corriente_3_window,1650.2348308563232,113
slope_ccallcenter_transacciones_3_window,1647.8725504875183,47
mrentabilidad_annual_delta_1_1,1635.764304637909,92
mcomisiones,1612.1265296936035,114
slope_canales_activos_3_window,1611.4118156433105,58
mcomisiones_mantenimiento_delta_1,1604.9113779067993,68
saldo_total_dolares_delta_1,1602.927559375763,74
cdescubierto_preacordado_delta_2,1572.3126440048218,47
slope_mrentabilidad_annual_2_window,1564.0010573863983,61
slope_comisiones_ratio_2_window,1558.2674729824066,85
margen_por_producto,1557.1842732429504,81
rentabilidad_media_mensual_lag_1,1554.4751768112183,92
mpagomiscuentas,1553.8647227287292,63
slope_cantidad_empleadores_3_window,1549.707302570343,13
slope_mactivos_margen_3_window,1545.9979486465454,72
slope_tmobile_app_2_window,1538.3193588256836,63
TC_Total_Fvencimiento_lag_1,1531.5021796226501,100
slope_ccomisiones_otras_2_window,1520.6967511177063,85
rentabilidad_vs_margen_delta_2,1519.524482011795,108
mcomisiones_mantenimiento_delta_1_1,1519.3670225143433,57
mcomisiones_otras,1504.99289560318,100
mcuenta_corriente_lag_1,1488.5035152435303,66
mcuenta_corriente_delta_2,1477.9900329113007,104
mactivos_margen_lag_1,1473.8295092582703,78
ccomisiones_otras,1471.662558555603,51
slope_tmobile_app_3_window,1462.9887418746948,64
Visa_mpagospesos,1404.5966482162476,121
saldo_total_delta_1_1,1385.3300833702087,76
chomebanking_transacciones,1384.164571762085,102
slope_cpayroll_trx_3_window,1364.6718583106995,20
ingresos_vs_saldo,1349.3089215755463,71
slope_internet_3_window,1348.5358605384827,44
slope_rentabilidad_vs_margen_2_window,1345.7908635139465,95
rentabilidad_vs_margen_lag_1,1342.2519843578339,83
slope_uso_digital_ratio_2_window,1340.0504875183105,88
ratio_productos_uso,1328.7005429267883,93
mcomisiones_lag_2,1322.8294968605042,58
rentabilidad_media_mensual_delta_1_1,1321.9723043441772,79
ccajas_consultas,1320.865591287613,66
slope_mcuentas_saldo_3_window,1317.7918231487274,82
saldo_total_dolares,1317.0940902233124,103
uso_credito_ratio_lag_1_1,1314.7990238666534,64
slope_ccaja_seguridad_2_window,1309.5325121879578,35
slope_ingresos_mensuales_2_window,1309.3655486106873,14
saldo_total_dolares_delta_1_1,1298.8843145370483,48
ccomisiones_mantenimiento,1289.1201419830322,52
rentabilidad_media_mensual_lag_1_1,1282.595679283142,73
mrentabilidad_annual_delta_2,1282.014078617096,98
slope_ccomisiones_mantenimiento_3_window,1276.5250506401062,62
slope_mrentabilidad_2_window,1271.6199250221252,66
slope_rentabilidad_media_mensual_2_window,1268.645501613617,89
slope_uso_tarjeta_ratio_3_window,1265.0866751670837,62
Visa_fechaalta_lag_1,1257.8343868255615,97
internet,1249.0877656936646,52
slope_TC_Total_msaldopesos_2_window,1234.84925699234,33
margen_por_cuenta,1219.602200269699,96
saldo_vs_movimientos_delta_1,1219.4313173294067,88
slope_mrentabilidad_annual_3_window,1216.8084878921509,71
slope_uso_credito_ratio_2_window,1210.9224181175232,70
slope_mtransferencias_recibidas_3_window,1207.0508332252502,77
TC_Total_fechaalta_lag_1,1205.549506187439,83
actividad_total,1199.8110241889954,102
slope_mcuenta_debitos_automaticos_2_window,1192.4432649612427,63
