feature,importance_gain,importance_split
ctrx_quarter,166098.45103940368,1063
foto_mes,100771.74031134695,1532
ctrx_quarter_lag_1,61909.158584311604,911
mcuentas_saldo,33034.04591593146,1952
mprestamos_personales,32950.44839536399,721
mpasivos_margen,25759.54143334925,1470
mcaja_ahorro,21275.918221369386,1201
cpayroll_trx_lag_1,18813.647588074207,207
cliente_edad,17284.31719146669,5396
numero_de_cliente,13737.10023804009,4728
cdescubierto_preacordado,11798.29216697812,248
mrentabilidad_annual_lag_2,11795.748163610697,2728
ctrx_30d,11672.720557615161,484
mpayroll_lag_1,11404.818119242787,365
mtarjeta_visa_consumo,11106.863822117448,402
mactivos_margen,10631.88892006874,1947
ctrx_quarter_lag_1_1,10324.929278254509,396
mcomisiones_mantenimiento,9275.617182321846,1309
mcuentas_saldo_lag_2,8824.465601995587,1649
uso_tarjeta_ratio,8191.543563097715,972
mrentabilidad,7986.627461761236,2126
mpayroll_lag_1_1,7686.738603889942,127
mrentabilidad_annual_lag_1,7642.01691327244,2202
mcuenta_corriente_lag_2,7639.314716562629,2223
mcuenta_corriente,7296.192922517657,2055
mactivos_margen_lag_1,7094.084173291922,1652
mrentabilidad_annual,6931.756570607424,2186
mprestamos_personales_lag_2,6794.584565728903,676
mcomisiones_otras_lag_2,6782.237698376179,1209
cliente_antiguedad_lag_1,6714.625999681652,2076
uso_tarjeta_ratio_lag_1,6700.284866437316,725
cliente_antiguedad,6501.085137560964,2042
Visa_Fvencimiento,6338.610805913806,1837
TC_Total_msaldototal,6302.028776198626,376
Visa_Fvencimiento_lag_2,6285.736669048667,1919
cpayroll_trx_lag_1_1,6223.760911673307,82
Master_Fvencimiento,6170.029688388109,1818
mcuenta_corriente_lag_1,5929.831969857216,1684
Master_Fvencimiento_lag_1,5896.741498634219,1726
Visa_Fvencimiento_lag_1,5851.95773626864,1832
uso_digital_ratio,5818.207021445036,1718
Visa_fechaalta_lag_2,5778.982003629208,1332
Visa_fechaalta,5765.949894890189,1513
mactivos_margen_lag_2,5749.111528933048,1754
mcomisiones_mantenimiento_lag_2,5696.738183736801,1020
Visa_fechaalta_lag_1,5673.918449059129,1146
Visa_status,5543.706946730614,145
mpasivos_margen_lag_1,5536.998879373074,1415
mrentabilidad_lag_2,5507.257922843099,1898
mrentabilidad_lag_1,5506.385139286518,1765
Master_Fvencimiento_lag_2,5455.813191279769,1731
canales_activos,5419.386089168489,353
mcomisiones_lag_2,5277.71420969069,1369
mcaja_ahorro_lag_2,5270.672522425652,1511
mpasivos_margen_lag_2,5261.828802451491,1649
uso_digital_ratio_lag_2,5254.720459699631,1672
mcuentas_saldo_lag_1,5142.455663084984,1469
mtransferencias_recibidas,5099.157054036856,1038
Master_mfinanciacion_limite,4978.507045909762,1500
TC_Total_Fvencimiento_lag_1,4830.632144585252,1340
uso_digital_ratio_lag_1,4797.4926162958145,1559
TC_Total_Fvencimiento,4736.380109876394,1420
Visa_mfinanciacion_limite,4643.135521233082,1404
