feature,importance_gain,importance_split
ctrx_quarter,118890.5800960064,131
slope_cpayroll_trx_2_window,23298.37700510025,89
mprestamos_personales,19897.784289717674,134
mcuentas_saldo,17387.92029261589,252
mpasivos_margen,12826.714413404465,169
mcaja_ahorro,5906.134300708771,118
slope_ctarjeta_master_2_window,3875.5709891319275,4
mactivos_margen,3844.90886592865,187
cliente_edad,3792.466200232506,397
uso_tarjeta_ratio,3700.876578092575,119
slope_mpayroll_2_window,3281.3135311603546,38
TC_Total_msaldototal,3207.1562674045563,41
mrentabilidad_annual,3115.436127781868,178
slope_cpayroll_trx_3_window,3009.563319683075,44
slope_internet_2_window,2931.94406914711,34
mtarjeta_visa_consumo,2857.741844177246,57
mrentabilidad_annual_lag_1,2801.025003194809,109
numero_de_cliente,2679.6478692293167,310
ccomisiones_mantenimiento_delta_1,2498.731011867523,37
canales_activos,2432.587331533432,59
TC_Total_mpagominimo,2349.9102137088776,100
mrentabilidad,2333.8663907051086,138
mrentabilidad_annual_delta_1,2263.600932121277,177
cdescubierto_preacordado,2257.86829328537,30
Visa_fechaalta,2239.426815032959,182
TC_Total_fechaalta,2131.560184597969,135
Master_Fvencimiento,1834.8009586334229,183
Visa_status,1832.6729898452759,26
slope_Visa_status_2_window,1762.7523446083069,28
Visa_Fvencimiento,1725.9621851444244,181
TC_Total_msaldopesos,1716.815580368042,37
ccomisiones_mantenimiento_delta_2,1625.1993446350098,32
cliente_antiguedad,1502.3692492246628,153
TC_Total_Fvencimiento,1461.8510777950287,145
mtransferencias_recibidas,1407.6632132530212,108
mcuenta_corriente_lag_1,1363.0727035999298,64
ccaja_seguridad,1362.2350656986237,45
Master_fechaalta,1328.7984915971756,131
mcuenta_corriente,1306.7907447814941,133
uso_digital_ratio,1289.0951118469238,120
Visa_msaldototal,1265.4350566864014,32
mcomisiones_mantenimiento_delta_2,1253.389383673668,63
mcuentas_saldo_delta_1,1237.0029574632645,136
mcuenta_debitos_automaticos,1233.1311342716217,73
ctarjeta_master,1230.1829833984375,2
cproductos_delta_1,1217.7509803771973,46
slope_ccomisiones_otras_2_window,1181.0195813179016,108
slope_ccomisiones_mantenimiento_3_window,1136.9451756477356,70
Visa_mfinanciacion_limite,1130.0401623249054,121
Master_status,1091.9134092330933,4
Visa_mpagominimo,1069.9306378364563,60
ctrx_quarter_delta_1,1038.8974378108978,115
Master_mfinanciacion_limite,1028.2623798847198,108
slope_canales_activos_2_window,1022.1963567733765,58
ctrx_quarter_delta_2,1015.7213654518127,86
cproductos,999.670978307724,81
slope_mcuenta_corriente_3_window,989.3561863899231,103
slope_TC_Total_mpagominimo_2_window,989.0724580287933,24
mactivos_margen_delta_1,985.979939699173,91
chomebanking_transacciones,935.610139131546,85
slope_mcuenta_corriente_2_window,924.7052164077759,76
mcaja_ahorro_dolares,906.3046108484268,103
ccaja_ahorro,899.8824796676636,57
mcuenta_corriente_delta_1,886.95587682724,92
mactivos_margen_lag_1,883.0380930900574,81
mtarjeta_master_consumo,859.7510569095612,39
slope_cmobile_app_trx_2_window,854.2840600013733,83
ccomisiones_mantenimiento,844.8697233200073,28
slope_mactivos_margen_2_window,821.6401796340942,84
slope_mactivos_margen_3_window,813.3256011009216,77
slope_Master_status_2_window,813.2504414319992,21
slope_mcomisiones_mantenimiento_3_window,796.057723402977,73
cprestamos_personales,795.5787564516068,46
mcuenta_corriente_delta_2,790.2415379285812,90
slope_internet_3_window,786.4945421218872,35
mcomisiones_mantenimiento,783.3923434019089,65
Master_mpagominimo,762.8102576732635,52
ccomisiones_otras,755.4890801906586,66
slope_mpasivos_margen_3_window,753.5865495204926,81
uso_digital_ratio_lag_1,745.2386918067932,76
slope_mcaja_ahorro_2_window,738.8614919185638,57
mpagomiscuentas,732.3748996257782,53
mpayroll_delta_1,728.8398282527924,56
mactivos_margen_delta_2,702.3364615440369,90
Visa_msaldopesos,700.1248829364777,51
mrentabilidad_annual_delta_2,693.5215978622437,85
mrentabilidad_annual_lag_2,688.9512987136841,76
actividad_total,666.6565896272659,79
TC_Total_mfinanciacion_limite,660.8780299425125,65
slope_ctransferencias_recibidas_3_window,658.1550091505051,67
slope_mcuentas_saldo_2_window,655.9767191410065,71
slope_Visa_status_3_window,648.809928894043,16
slope_mcuentas_saldo_3_window,639.5004978179932,64
mtransferencias_emitidas,633.6175289154053,60
slope_mrentabilidad_2_window,623.8365824222565,64
slope_mrentabilidad_annual_3_window,622.2865505218506,62
slope_cmobile_app_trx_3_window,614.5108575820923,60
slope_ctransferencias_recibidas_2_window,613.779628276825,63
Master_Fvencimiento_lag_1,606.55601978302,73
slope_mpasivos_margen_2_window,597.7001993656158,55
ctrx_30d,596.9938850402832,49
mcuentas_saldo_delta_2,595.0405371189117,57
