feature,importance_gain,importance_split
foto_mes,62806.45281799883,1620
ctrx_quarter,47692.8950836584,1155
cpayroll_trx,16870.627397321165,132
mingresos_mensuales,14771.498532190919,101
mpayroll,13758.469225123525,98
ccomisiones_mantenimiento_delta_4,10493.048418149352,401
mtarjeta_visa_consumo,9673.191350415349,244
mpasivos_margen,9281.41004063189,991
mcuentas_saldo,8941.244937978685,1043
mcaja_ahorro,8670.859915092587,563
mprestamos_personales,7932.160206757486,656
cliente_edad,7343.128746390343,3104
numero_de_cliente,6623.260791271925,2874
msaldo_vs_movimientos_ratio,5529.991963803768,987
Visa_Fvencimiento,5512.204426571727,2252
Master_Fvencimiento,5470.687788397074,2167
TC_Total_mpagominimo,5467.973119735718,349
ctarjeta_visa_transacciones,5066.565387099981,302
Visa_fechaalta,5030.261380940676,1793
cliente_antiguedad,4637.7126539722085,1899
slope_mcomisiones_mantenimiento_12_window,4570.088247701526,1412
slope_mrentabilidad_annual_12_window,4344.106465704739,1451
cuso_tarjeta_ratio,4311.216370567679,636
mcomisiones_mantenimiento,4268.2659409195185,659
mrentabilidad_vs_margen,4225.125364474952,1114
Master_fechaalta,4180.92553023994,1474
tes_empleado,4141.607821792364,36
cdescubierto_preacordado_delta_2,4048.350700683892,172
mcomisiones_ratio,4018.748440295458,820
TC_Total_Fvencimiento,3972.8096983656287,1788
ctrx_quarter_delta_4,3970.9054691642523,1522
slope_mrentabilidad_media_mensual_12_window,3785.061825558543,1487
slope_mcuenta_corriente_12_window,3764.7199132442474,1432
slope_mcomisiones_12_window,3641.607356235385,921
slope_mrentabilidad_vs_margen_12_window,3612.4924503713846,1565
slope_Visa_mconsumospesos_12_window,3576.7959480285645,1364
mcuenta_corriente,3446.2267669066787,824
TC_Total_fechaalta,3426.673072233796,1364
mactivos_margen,3425.9886589944363,833
slope_mrentabilidad_vs_margen_6_window,3367.004074037075,1320
slope_mcuenta_corriente_6_window,3336.085539713502,1043
slope_mcomisiones_mantenimiento_6_window,3330.8541617766023,763
slope_Master_mfinanciacion_limite_12_window,3307.349187269807,1278
slope_mcomisiones_otras_12_window,3241.997449800372,610
slope_Visa_mfinanciacion_limite_12_window,3226.338946595788,1251
internet,3197.908833861351,246
slope_mcuenta_corriente_3_window,3111.676512360573,907
slope_mcomisiones_ratio_12_window,3059.4770602211356,1246
