feature,importance_gain,importance_split
ctrx_quarter,198024.40330654383,981
mcaja_ahorro,43506.64814928174,502
mprestamos_personales,40079.1499273926,626
mcuentas_saldo,37381.91398063302,857
cpayroll_trx,33628.6469283998,100
mpasivos_margen,31543.005580723286,792
mtarjeta_visa_consumo,26181.402950525284,239
cactividad_total,21845.422829031944,555
foto_mes,17444.105998039246,1155
msaldo_total_pesos,16995.998539552093,495
mpayroll,16713.42838409543,93
ccomisiones_mantenimiento_delta_4,16353.016536563635,343
cliente_edad,13833.943602979183,3277
ctarjeta_visa_transacciones,13099.665413588285,328
numero_de_cliente,11810.690681755543,2932
tes_empleado,11625.367830753326,27
mingresos_mensuales,11225.960472255945,63
cuso_tarjeta_ratio,10747.229363888502,595
ctarjeta_visa,10695.657602101564,36
mingresos_por_producto_ratio,10020.771221846342,137
cliente_antiguedad,9930.373879492283,2172
Master_Fvencimiento,9903.359491169453,2229
Visa_fechaalta,9703.866076916456,1877
slope_mcomisiones_mantenimiento_12_window,9641.826301813126,1326
slope_mcuenta_corriente_12_window,9499.55361688137,1838
Visa_Fvencimiento,9247.776250526309,2242
cdescubierto_preacordado_delta_2,9234.33010880649,175
slope_mcomisiones_otras_12_window,9141.359383910894,761
TC_Total_fechaalta,9111.608429044485,1566
TC_Total_Fvencimiento,8589.256434440613,1938
Master_fechaalta,8231.356777638197,1658
msaldo_vs_movimientos_ratio,8192.58957245946,866
mactivos_margen,8181.163469046354,789
ctrx_quarter_delta_4,8139.8312466442585,1486
slope_mcuenta_corriente_6_window,8119.583793818951,1226
slope_mrentabilidad_annual_12_window,7930.166091173887,1468
TC_Total_msaldopesos,7665.45321136713,207
cproductos_delta_3,7216.595020473003,241
slope_mcomisiones_ratio_12_window,7016.839073613286,1290
slope_mrentabilidad_media_mensual_12_window,6965.039869785309,1623
TC_Total_msaldototal,6775.623683869839,248
slope_mcaja_ahorro_2_window,6467.542086571455,379
slope_mcomisiones_12_window,6410.994228065014,773
TC_Total_mpagominimo,6264.906941533089,332
