numero_de_cliente,predict
249565688,1
249596175,1
249843690,1
250272786,1
251050628,1
251369536,0
252411597,0
252771922,0
253086757,1
253228235,1
253312607,0
253344990,0
253762421,1
254781288,1
255185448,0
255480948,0
255767038,1
255859515,0
255924707,1
256003033,1
257242943,1
257496069,1
257533337,1
257640391,0
258084448,0
258494151,1
258527114,0
258781846,1
258790010,1
258910710,1
259091351,0
259976760,1
260083156,1
260276701,0
260617931,0
260855020,0
261247361,0
261399778,0
261943819,0
262200301,0
262302035,0
263226017,1
263451150,1
263490160,1
263582637,1
263705950,0
263925900,1
264409411,1
264506474,0
264559488,0
264637524,0
264822034,0
265138457,0
265543129,1
266274156,0
266350655,1
266499648,0
266804405,1
267160290,1
267434279,1
267478036,0
267886133,0
267958627,0
730000870,1
730166123,0
730307891,0
731020540,0
731555964,1
731821200,0
732413593,0
732612167,0
732747667,0
732755908,1
733581880,1
733680403,0
734719979,1
734816247,0
736798328,0
737256971,0
737333470,0
738080825,1
738247393,1
738769401,0
738836711,1
739057028,0
739319710,1
739339471,1
739533024,0
739767850,1
740263095,1
740275563,1
741103140,0
741614508,0
742073074,0
742776526,1
744395728,0
744409870,1
744517804,1
744853415,0
744924082,1
745538934,0
745801539,1
746132778,1
746347476,0
747740238,0
747824466,0
748103775,1
748890224,0
749248073,0
749294675,0
749359363,0
749554880,0
749623062,0
749631012,0
749687383,0
750832929,0
750958070,0
751439608,1
752456571,0
752664121,0
752864309,1
753204515,0
753390912,1
753518684,0
753584679,0
754691420,0
754907654,0
755999809,0
757668602,0
758332967,0
758610449,0
759159229,1
759232884,1
759627198,1
863135720,1
863576054,0
863694773,0
864218754,0
864276440,1
865102198,1
865209910,1
865657606,0
865988110,1
867386927,1
867701899,0
869094225,0
869607122,0
870029147,0
870365706,0
870384084,1
870596083,1
870904128,1
870988501,0
871231934,1
871301217,0
872143235,1
872794911,0
872800376,0
872855944,0
873588354,1
873660259,1
874423515,0
874641927,0
874799451,0
874999272,0
875140238,0
875406498,1
875576490,0
875577583,0
875975552,0
875999830,0
876010624,0
877544062,1
877659212,0
877689476,0
877765326,0
878015242,0
878736345,0
879556194,0
880008851,1
880169586,0
880774882,0
881163867,0
881179042,0
881268009,1
881370623,0
881405482,0
881859155,0
881966141,1
882231308,0
882710584,1
882960721,1
883203420,0
883288527,1
883327546,0
883341329,1
883633985,0
883742568,1
884301263,1
884928148,0
884993494,0
885183315,1
885328661,0
885375553,0
885644726,1
885675358,0
885841336,1
887003064,1
887187574,0
887613245,0
515498460,1
515941416,1
516183756,1
516704014,1
516756884,0
516767020,0
516779053,1
516779275,0
517516425,0
517575853,1
517833215,1
518557743,0
520636391,1
521610476,1
522655662,0
525014926,1
525065541,0
525082313,1
525395166,0
525993101,1
526199917,1
526298662,1
527398255,1
528656909,1
530311184,0
531158599,0
531442938,1
532978929,0
533338827,0
533589178,1
533743277,1
534351563,1
535845914,0
536208502,1
538586656,0
538837229,1
540615193,0
540892026,1
541223333,0
541388150,1
544605179,0
545208947,1
545772526,0
546408301,0
547263368,0
547390772,0
547851969,0
548011457,1
548302363,0
548848223,1
549018215,0
549290453,1
549569326,0
549575159,0
549704749,0
549988730,0
549997483,0
550011266,1
550527297,0
552374100,1
552666978,1
553497245,0
553661627,1
553805658,1
352590775,0
352703149,0
352907710,0
352924995,1
352984064,0
353537362,1
353964571,0
354184298,0
354289533,0
354345981,0
354740081,0
354744018,1
355021431,0
355070876,1
355176982,1
355228468,0
355277187,1
355820272,1
355989393,0
356002006,1
356412007,0
356432204,1
356808584,0
380933000,1
381850056,0
407110829,1
409769240,1
431162248,1
431637142,0
431717945,0
431945700,1
432029714,0
432492798,0
433358591,0
433371716,0
433393305,0
433567814,0
434009028,0
434246330,0
434248448,0
434334793,0
434393641,0
435242003,1
435560407,0
435592636,0
435880921,0
435952680,1
436741384,0
436756696,0
436813579,0
437133298,0
437482684,1
437789056,1
437886264,1
437984864,1
438646454,0
439860548,0
439866526,1
440019020,0
440158969,0
440968749,1
441102353,0
441169296,0
441574549,1
441679127,0
441975575,0
441980827,1
249797738,1
249986329,0
250175946,0
250379482,1
250585571,1
250687382,1
250788091,1
251074770,0
251281372,0
251522756,1
251713175,0
252108146,0
252528566,1
252605654,1
252817721,0
252913844,0
253105783,0
253343017,1
253569457,0
254323959,0
254470031,1
254557547,1
254619391,0
256233632,1
256315451,0
256523880,0
256575580,0
257117580,0
257131576,0
257365744,1
257368742,0
258252246,0
258694476,0
259058388,0
259095433,0
261121203,1
261375500,0
261870087,0
262576092,1
262830030,1
262925854,0
262937161,0
263237905,0
263333080,0
263434882,0
264040546,0
264470812,0
264859224,1
264965408,1
265173026,1
265500977,0
265533727,1
265737852,0
266096726,1
266101534,1
266357657,1
266811331,0
266824098,1
266996643,1
267213160,0
267308916,1
267474535,0
269747454,0
269782313,0
268084785,0
269263430,0
269569366,1
269578042,1
269721638,0
269894909,1
270694263,0
270798618,1
271112718,0
271178132,0
271186741,0
271273521,1
272167025,0
272305514,1
272855311,1
273336482,0
273349104,0
273948414,0
274255221,1
274403991,0
274996085,0
275570237,1
275591245,1
276030119,0
276328754,0
276338233,0
276794536,0
276911001,0
277046646,0
278128665,1
278558350,0
279009556,1
279135858,1
279816706,1
279872060,0
279961762,1
280079977,0
280082889,1
280694240,1
280755573,1
281840870,0
281885798,0
281964560,0
282083356,0
282359821,0
284410024,0
284684226,0
285055064,1
285195739,0
285273989,1
285710967,0
286300217,1
286304811,1
286506306,0
286615043,1
287061790,0
287659213,1
287765396,0
287889154,0
288118292,1
288637457,0
288841505,0
289078517,0
622144514,0
622218827,0
622428494,1
622447307,0
622459562,0
622479101,1
622945840,0
623492502,1
623828105,0
623874126,0
623893597,0
625034181,1
625880135,0
626134133,0
626260666,0
626265918,1
626494467,1
626507737,0
626970027,1
626986654,1
627080147,0
627163717,1
627699807,0
627775290,0
627789799,1
627947101,0
628225394,1
628784089,1
628967642,1
629003816,1
629008991,1
629145072,1
629225081,1
629508694,1
629743520,1
629795731,1
630169259,0
630396869,0
630434939,0
630757570,0
630979339,0
631264702,1
631691032,1
632562802,0
632593869,0
633439457,0
634034249,0
634086179,0
634150791,1
634216350,0
634525779,0
634617453,0
634717650,1
634891075,0
634909307,0
635067847,0
635247028,1
635777499,0
635794562,1
635810172,1
635987893,0
636034639,0
636375426,0
636613684,0
636745828,0
636938502,0
637027691,1
637643628,0
638651043,0
638886526,0
638984614,0
639142428,1
639483949,1
639792285,0
640464524,0
640490485,0
641013151,0
641021391,1
641449326,0
641945895,1
641956467,0
642215870,0
642619594,0
642695359,0
642794616,0
643048255,0
643843090,0
644346653,1
644405065,0
644496517,0
644609045,0
644751248,1
644806962,0
644984101,0
645045579,0
645325768,0
645483146,0
645511148,0
645597280,0
645639355,0
646044830,1
646715105,0
646804653,0
646810930,0
646959624,0
647061434,1
647335423,0
647803102,1
648090071,1
648667212,1
648824958,0
649086402,0
649332235,0
649470066,0
649782194,1
651418099,0
651517348,1
651931867,0
651995018,1
652250706,1
652841417,0
653672777,1
653803469,0
653823888,1
654262540,0
654515743,1
655087128,1
655637292,0
656257977,0
656823743,1
658187111,0
554000372,0
554056086,0
554142875,0
554434507,0
554537112,0
554627180,0
554959000,0
554961186,0
555038198,1
555089103,1
555285056,1
555299864,0
556119994,1
556218671,1
556638945,1
556990962,1
557253430,0
557734747,1
558030102,0
558619284,0
558681488,0
559560038,1
560236001,1
560838966,0
561047967,1
561742675,0
562189790,0
562488134,0
562498057,0
563169861,1
563758086,0
563877395,0
563977011,0
563987950,0
564076559,0
564143288,0
564281196,0
564561453,0
564627448,0
564685647,0
564826253,1
565277305,1
565706700,0
565709544,0
566089707,0
566290920,0
567242469,0
567256909,0
567362657,1
567388831,1
567522948,1
567523528,1
568027381,0
568115699,1
568132249,1
568170097,0
568725001,1
568997316,1
570148685,0
570148976,0
570390872,0
570725177,1
570800361,0
570995007,0
571056118,1
571201020,1
571400918,0
571585641,1
571593079,0
572875209,0
349255018,0
349338588,1
349429818,0
349612799,0
349634524,0
349914499,0
350275995,0
350632247,1
351386672,1
351447202,1
351557757,0
352009689,0
352403567,0
353023962,1
353099803,0
353476183,1
353612332,0
353730838,1
353900540,0
354101095,0
354111232,0
354142735,0
354228790,1
354538876,1
354655990,1
354713463,1
354964035,0
355102456,1
356008428,0
368941966,0
373596753,1
388579333,1
399339791,0
430578685,1
430620906,1
431092017,0
431402539,1
431862275,1
432022857,0
432494404,1
433704117,1
433796226,1
433878848,0
434148678,0
434298764,1
435446786,0
435504395,1
435772910,1
435810758,1
436004166,0
436397967,1
436582332,0
437373735,0
438037810,1
439042672,1
439161400,1
439167890,1
439783682,0
439797320,0
440033751,0
440568594,0
440664786,1
440741584,0
440866938,1
440994932,1
441094403,1
442176276,0
445250222,1
445291349,1
445724177,1
446701686,1
447290433,0
447417760,1
447995926,0
448384338,0
449006987,1
449067372,0
450038690,0
450093677,1
450152379,0
450206854,0
450230774,1
450236974,0
450400185,1
451390752,0
451636517,1
452343615,0
453038101,1
455359516,1
455648749,0
455789492,0
456620425,0
457453323,1
457484834,1
458005382,1
459537513,1
459949982,1
460100068,1
460679916,1
461577937,1
461823190,1
461958613,0
462128460,1
462529563,0
463069513,0
463699891,1
463910071,1
464127757,0
464362805,1
464558757,0
464914420,1
465071654,0
465169519,0
466233749,0
466313895,0
466439694,0
466480095,1
466568772,1
466668174,0
467110473,0
467289730,1
468558513,0
468653389,0
468711007,0
469067763,1
469209240,1
469414536,0
469688815,0
469723597,1
469737380,1
887932819,0
888086543,0
888336612,1
888484947,1
888573914,0
888803274,0
889981843,1
890418241,0
891109814,0
891416399,0
891521190,0
892197007,0
892213703,0
892656590,1
892798948,0
892930144,0
893104440,0
893171972,0
893267062,1
893268454,0
893867550,1
893924357,1
894052487,0
894124613,1
894238089,0
894534025,0
894636417,0
895456265,1
897389636,1
897623582,0
897785119,1
898404993,0
899233005,0
900712916,0
901408785,1
901665711,0
901845472,1
902089564,1
902847568,0
903124400,0
903362138,1
903515289,0
903624530,0
903776289,0
904242806,1
904343012,1
904421116,0
904975362,1
905281511,0
905432537,0
906507706,0
907570980,1
907968581,1
908413578,0
908595535,0
908724536,1
908820949,0
909519081,0
909528338,0
909769073,0
909974215,0
910105342,1
910166384,0
911092262,0
911281221,0
911318190,0
912009686,1
912180481,0
912608492,1
913531962,0
913564780,0
914052954,0
914116917,0
914595970,0
760149719,1
760538208,1
761054965,0
761206579,1
762537941,0
762630187,1
762680290,1
762882587,0
763007148,0
763947475,0
766558482,1
767124393,0
769055722,1
769259045,1
770323488,1
770422370,1
771489222,1
771627421,0
772482128,1
772942446,0
773154948,0
773270175,0
773449287,0
773633865,1
773716854,0
774572433,1
774687660,0
774826516,0
774941299,1
775604494,0
776546863,0
777879018,1
778312282,0
778575767,0
779324360,1
779873721,0
780067710,1
780261766,0
780857217,1
781101888,1
781685084,0
781726143,1
781912471,0
782808016,0
783455900,1
783740026,1
783821486,0
783972512,0
784271949,1
784313811,0
784660797,0
784725118,1
784790388,0
785169902,1
785302635,1
786220195,0
786279999,0
786509504,0
786526131,0
786656524,1
787200343,0
787231334,0
787713018,1
788095154,0
572911452,0
572972570,0
573359446,1
573412905,0
573630882,0
573692214,0
573883205,0
574053709,0
574057578,1
574409014,1
574725513,1
574728801,1
574933353,0
575071697,0
575249716,1
575470323,1
575471561,1
575662629,1
575813441,0
575817745,1
575879146,1
576019172,0
576028865,0
576050743,0
576330855,0
576540600,0
576747415,1
576896920,1
577006382,1
577299039,0
577493463,1
577832789,0
577926940,1
577965813,1
578650375,0
578683193,0
579010342,1
579382999,0
579680694,0
579731591,0
579839892,0
580301080,0
580333096,0
580576743,1
580627358,0
581081911,0
581508385,0
581777199,0
581806516,0
582569182,0
583052326,0
583173163,0
584423065,0
584443705,0
584580076,1
584641041,1
584862229,1
585201999,1
585679815,0
585832309,0
586395598,0
586943208,0
587343064,0
588158823,1
588704537,1
588945050,1
914836919,1
914845459,0
915140079,0
915201634,1
915217458,1
915769586,1
916104617,1
916419221,1
916788521,0
917039538,0
917317754,0
917433126,0
917773042,0
920081767,0
920510138,1
920590138,0
920592401,0
920804613,1
921749535,1
921861551,0
922446352,1
923752692,1
923854793,1
924111497,1
924380448,1
924816555,0
925232312,1
925383781,1
926334458,0
926719515,0
927310294,1
927487288,1
928775183,0
928832425,0
929031733,0
929164825,1
929275970,0
929855963,1
930781551,0
931199272,0
932073305,1
932829199,0
932938730,1
933031207,0
933291114,0
933372796,0
933649552,0
934486027,0
934589802,1
934713996,1
935357576,0
936376588,0
937048973,1
938175474,1
938632367,1
938729285,1
938952155,0
939279227,0
939328817,0
939481379,0
939971671,0
940167769,0
940332441,0
940693501,0
940837532,0
940947583,0
941514519,0
942519381,0
943455396,1
943844756,0
943907182,0
944119326,0
944302520,0
