feature,importance_gain,importance_split
ctrx_quarter_normalizado,205732.37727975845,278
cdescubierto_preacordado_delta_mean_8,80607.19306516647,100
ctrx_quarter,71115.39013838768,341
mtarjeta_visa_consumo,68438.6160068512,204
mcaja_ahorro,64482.06197023392,333
msaldo_total,63265.23590803146,344
ctarjeta_visa_transacciones,60132.76649785042,175
mcuentas_saldo,48436.88792157173,432
msaldo_total_pesos,44397.24797320366,307
ctarjeta_visa,35284.12490129471,38
mcuenta_corriente,34029.86492037773,446
cdias_mora_promedio,26429.85948419571,126
cpayroll_trx,26035.59042263031,70
cprestamos_personales,24158.61326432228,303
cdescubierto_preacordado,23067.280210733414,101
mpasivos_margen,22088.724511384964,312
cuso_tarjeta_ratio,18642.93883728981,227
foto_mes,17892.77023267746,348
mprestamos_personales,17794.89038991928,427
mpayroll,16558.392162322998,184
mingresos_mensuales,16019.030053138733,184
Visa_status_delta_mean_8,15980.584994792938,28
Visa_fultimo_cierre_delta_mean_4,15453.19475865364,79
cproductos_delta_mean_4,14962.189938783646,109
ccomisiones_mantenimiento_delta_mean_8,13256.976145029068,297
slope_mcaja_ahorro_adicional_6_window,13020.543132066727,205
mactivos_margen,12839.222583532333,426
cdescubierto_preacordado_delta_mean_4,12451.267271518707,73
tes_empleado,11716.04325389862,27
mflujo_cheques,11431.942403316498,199
mautoservicio,11383.817166805267,135
TC_Total_msaldopesos,10786.681915283203,179
Visa_status,10752.25747346878,57
mcomisiones_mantenimiento,10318.010086536407,386
TC_Total_mpagominimo,10263.636111736298,227
cproductos_delta_mean_8,9934.963042020798,229
Visa_mfinanciacion_limite,9567.32780790329,316
TC_Total_msaldototal,8960.09037232399,182
mrentabilidad_vs_margen,8295.78629040718,314
ccaja_ahorro,8083.5164885520935,147
cprestamos_personales_delta_2,8062.683814764023,71
Visa_mpagospesos,7619.747754812241,146
TC_Total_mpagospesos,7479.574950218201,272
msaldo_vs_movimientos_ratio,7317.886033773422,382
ctarjeta_visa_delta_mean_4,7235.094024181366,16
cproductos,7021.6275181770325,261
cliente_edad,7017.089373588562,631
Visa_mpagominimo,6869.129644870758,239
Visa_Finiciomora,6830.100023508072,61
TC_Total_fechaalta,6798.232878446579,455
ctarjeta_visa_transacciones_delta_mean_8,6771.617210388184,245
ctarjeta_visa_delta_mean_8,6143.939992904663,56
cdias_mora_promedio_delta_mean_4,6087.025195598602,49
numero_de_cliente,6070.2500436306,583
ctarjeta_debito_transacciones,6050.447226524353,87
mmargen_por_producto,5892.618083238602,275
slope_mprestamos_personales_6_window,5736.787232398987,232
mingresos_por_producto_ratio,5708.315397977829,163
slope_mprestamos_prendarios_6_window,5539.194294452667,238
slope_mpayroll2_6_window,5511.464882612228,175
ctarjeta_visa_debitos_automaticos_delta_mean_8,5255.886032342911,229
mrentabilidad_annual,4985.62434053421,409
mcomisiones_ratio,4916.614755153656,340
Visa_Fvencimiento,4663.658840179443,463
cliente_antiguedad,4663.0506756305695,427
Visa_fechaalta,4591.961166143417,402
ccaja_seguridad,4584.146764755249,105
cdias_mora_promedio_delta_mean_8,4583.982354879379,93
mflujo_netotransf,4373.253020524979,257
Visa_status_delta_2,4371.927296161652,24
ctrx_quarter_delta_mean_4,4268.935135602951,220
mprestamos_prendarios,4261.371409416199,181
ctrx_quarter_delta_mean_8,4200.187734127045,280
muso_credito_ratio,4191.0232989788055,213
slope_mflujo_cheques_6_window,4154.240547180176,219
slope_mcuenta_corriente_6_window,4106.274671077728,280
mtarjeta_master_consumo,4069.67875623703,126
ccaja_ahorro_delta_mean_8,4068.9487216472626,108
Master_Fvencimiento,4056.051091194153,431
TC_Total_Fvencimiento,4033.2539498806,379
mrentabilidad_media_mensual,4024.7952909469604,392
Master_fechaalta,4001.896892786026,355
mcomisiones_otras,3970.8713335990906,232
ccomisiones_mantenimiento_delta_mean_4,3957.8341476917267,119
mcuenta_debitos_automaticos,3916.6770079135895,170
slope_mpayroll_6_window,3854.8703134059906,197
msaldo_total_dolares,3794.201812982559,257
mrentabilidad,3760.8029096126556,292
mmargen_total,3745.92231965065,282
slope_mcomisiones_mantenimiento_6_window,3698.7177670001984,264
TC_Total_mfinanciacion_limite,3680.779999256134,249
slope_mingresos_vs_saldo_ratio_6_window,3586.641506433487,164
mdeuda_tarjetas_total,3528.8804457187653,93
Visa_mlimitecompra,3512.406946182251,282
cprestamos_personales_delta_mean_8,3500.976373910904,124
mcomisiones,3491.3027245998383,293
cprestamos_personales_delta_mean_4,3457.58247256279,89
slope_Visa_fultimo_cierre_6_window,3437.2795312404633,275
mpagomiscuentas,3416.4565103054047,121
ctrx_quarter_normalizado_delta_mean_8,3365.80353140831,208
Master_status,3304.059093475342,43
slope_mrentabilidad_vs_margen_6_window,3264.3871879577637,266
slope_Master_fechaalta_6_window,3230.414141178131,319
ctrx_quarter_normalizado_delta_mean_4,3222.3752505779266,164
slope_Visa_fechaalta_6_window,3177.786735534668,303
ctarjeta_visa_transacciones_delta_mean_4,3034.2969801425934,184
slope_mcuentas_saldo_6_window,2943.3363790512085,194
Visa_cconsumos_delta_mean_8,2922.80752158165,231
mmargen_por_cuenta_ratio,2907.1557528972626,226
tsin_sueldo_mes_delta_mean_8,2900.3729016780853,84
slope_mcaja_ahorro_6_window,2890.1073966026306,229
cdias_mora_promedio_delta_3,2878.07630109787,28
ctrx_quarter_normalizado_delta_2,2820.9506146907806,152
TC_Total_mconsumospesos,2744.060623884201,186
slope_mcaja_ahorro_dolares_6_window,2740.964744091034,250
Master_mfinanciacion_limite,2739.33877825737,263
slope_Visa_Fvencimiento_6_window,2731.067636489868,295
mtransferencias_recibidas,2728.2581243515015,147
ccaja_ahorro_delta_mean_4,2719.4694786071777,85
