trial_number,ganancia,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,num_boost_round,pos_bagging_fraction,neg_bagging_fraction
2,390933333.3333333,135,0.08341310889641519,40,0.4898994584648444,0.523061953399073,2.8607103035901353,0.0932782108754382,882,0.17507891789947239,0.5755831313983918
3,390666666.6666667,86,0.053520893311705155,16,0.3709670710387215,0.5484939053151776,3.710798734741422,2.7034669028052676,795,0.6280875248061908,0.5052739889207465
4,395733333.3333333,29,0.09767017743323907,52,0.7603029753952975,0.8495057516880917,3.579785598052885,4.432548849847483,510,0.7770176792867545,0.5278703199715471
5,392000000.0,132,0.02327953778291219,52,0.7217677796483324,0.6294364845267467,3.33908560011084,1.6771513087309653,976,0.10944510902027443,0.29464694108017475
6,395200000.0,54,0.08233427366684817,83,0.680965957335576,0.7651235517160792,4.7480934398504075,3.604792493035798,922,0.532382435496612,0.4801738937795722
7,394933333.3333333,125,0.06037801273604633,13,0.5157093966438315,0.8630273271632911,3.7301700104699975,2.737697420692045,616,0.5345650407988334,0.33263760396441355
8,393600000.0,118,0.01889911542943587,89,0.5042433469492995,0.5422066177381831,2.242048888949135,2.8694806549137275,603,0.3990288303841172,0.9076220972435017
9,385066666.6666667,33,0.01814469596750438,77,0.4250783321909607,0.3765079612135529,4.317270898855035,3.8495964927864694,546,0.2776966882011336,0.974848515586485
10,391466666.6666667,29,0.06480186886744035,8,0.4855782017891982,0.25632591466919,1.42803256599063,2.5191582919027096,582,0.12172833356542645,0.2841716391068799
11,393600000.0,146,0.07413883982205911,5,0.6607514975128875,0.542670984908662,4.987086775544718,2.2516988533319813,723,0.35975812808853724,0.9888983105261291
12,387200000.0,10,0.09985347217207827,59,0.9477338181643677,0.9734788518423585,0.4433773007403059,4.617777308603444,320,0.9425779529175957,0.7169573176481981
13,392266666.6666667,61,0.09723803756874431,73,0.8026304256514404,0.8045582018653012,4.929165901090665,4.913800574004992,394,0.7951529282945728,0.5211025193666775
14,393333333.3333333,64,0.08325225951409973,100,0.842486749876366,0.7592371555486424,4.290143992977955,3.869195302045829,441,0.7124464592199913,0.14925623200456745
15,384800000.0,46,0.04076908219595944,37,0.6261720010719114,0.9976812573950793,2.2362596639096743,3.9441205985995422,240,0.882950455304042,0.7075883655201421
16,396266666.6666667,90,0.08559861516546788,67,0.2865153123694797,0.7146432093601134,4.383581698384018,3.5143483693517727,730,0.5471004854899719,0.3895958559657047
17,396266666.6666667,90,0.04236775955792947,59,0.2970852394779403,0.685633737888122,3.0326844439093543,1.2840305508303103,720,0.698367563849124,0.3889002197419098
18,400533333.3333333,96,0.03938883740019824,66,0.26046167947087306,0.6683629014958616,1.6425827450111898,1.0365634996666044,705,0.466653974607553,0.13422498894164903
19,399466666.6666667,104,0.03558969786208841,69,0.2514465790747236,0.6670563817903147,0.711984251312999,0.45993386121683577,706,0.4423436687399966,0.11125236908495378
20,395733333.3333333,99,0.03273225560670156,39,0.25841967994245474,0.4360001944184859,0.33959821570886656,0.33342940322113146,815,0.43026287594026347,0.12117588074297403
21,390933333.3333333,110,0.030512793192988573,27,0.3740569285799244,0.6493277891901856,1.0535275479736517,0.8248516086409251,677,0.2749562777914999,0.22382002577545573
22,390666666.6666667,74,0.005511031311797154,67,0.35648729765554804,0.9038315401600117,1.591131328348269,0.7428968171510486,845,0.43394024771285034,0.1992699165332117
23,397600000.0,102,0.04503053527957976,66,0.2535524539429296,0.6729540620344124,0.905163082815934,1.828052762547025,750,0.5976119873946588,0.1204980658921756
24,398666666.6666667,109,0.04550143967399676,63,0.2551262769840131,0.5886987067452039,0.008554465808660039,1.6678131039356523,663,0.6123294174055145,0.1160846469018073
25,400000000.0,111,0.03422734176412123,85,0.3238111124654441,0.5966356985148967,0.06166622133085831,1.1376803804500613,670,0.4868876304885691,0.21358732933844304
26,389066666.6666667,77,0.032800031763071315,92,0.4192482249118198,0.4711038567730278,0.8755682149372139,0.9796092278846409,492,0.32004487844854085,0.2174312813022444
